company_id,company_name,industry,district,state,latitude,longitude,input_material,output_waste
C001,Malabar Timber Industries,Wood Processing,Kozhikode,Kerala,11.2588,75.7804,Logs,Sawdust
C002,Western Ghats Wood Products,Wood Processing,Kannur,Kerala,11.8745,75.3704,Logs,Wood Chips
C003,Travancore Timber Mills,Wood Processing,Kottayam,Kerala,9.5916,76.5222,Logs,Bark
C004,Periyar Wood Industries,Wood Processing,Ernakulam,Kerala,10.0159,76.3419,Logs,Sawdust
C005,Anamudi Forest Products,Wood Processing,Idukki,Kerala,9.8490,76.9750,Logs,Wood Shavings
C006,HighRange Timber Works,Wood Processing,Pathanamthitta,Kerala,9.2648,76.7870,Logs,Sawdust
C007,Heritage Furniture Works,Furniture Manufacturing,Thrissur,Kerala,10.5276,76.2144,Sawdust,Wood Offcuts
C008,Malanad Furnishings,Furniture Manufacturing,Kozhikode,Kerala,11.2588,75.7804,Wood Boards,Wood Scraps
C009,Cochin Interior Creations,Furniture Manufacturing,Ernakulam,Kerala,9.9816,76.2999,Plywood,Wood Dust
C010,Kerala Modular Furniture,Furniture Manufacturing,Kollam,Kerala,8.8932,76.6141,MDF Boards,Laminates Scrap
C011,GreenCraft Furniture,Furniture Manufacturing,Palakkad,Kerala,10.7867,76.6548,Wood Panels,Wood Dust
C012,Travancore Paper Products,Paper Manufacturing,Kottayam,Kerala,9.5916,76.5222,Waste Paper,Paper Sludge
C013,Western Paper Mills,Paper Manufacturing,Kozhikode,Kerala,11.2588,75.7804,Recycled Paper,Fiber Sludge
C014,Cochin Packaging Papers,Paper Manufacturing,Ernakulam,Kerala,9.9816,76.2999,Waste Paper,Paper Trim
C015,GreenLeaf Paper Industries,Paper Manufacturing,Thrissur,Kerala,10.5276,76.2144,Paper Pulp,Pulp Residue
C016,Malabar Eco Papers,Paper Manufacturing,Kannur,Kerala,11.8745,75.3704,Recovered Paper,Paper Sludge
C017,Cochin Eco Plastics,Plastic Recycling,Ernakulam,Kerala,9.9816,76.2999,Plastic Scrap,Plastic Flakes
C018,BlueCycle Plastics,Plastic Recycling,Kollam,Kerala,8.8932,76.6141,Plastic Waste,Plastic Pellets
C019,Green Polymer Industries,Plastic Manufacturing,Palakkad,Kerala,10.7867,76.6548,Plastic Pellets,Plastic Scrap
